Date,Hour,Temp_C_,Rel_Umidity___,pressure_mbar_,GlobalRadiation_w_m_2_,Rainfall_mm_,DateTime
01/01/2018,00:00,8.8,91.4,1016.255639,0,2.21,01-Jan-2018 00:00:00
01/01/2018,00:30,8.5,93.4,1015.578361,0,2.21,01-Jan-2018 00:30:00
01/01/2018,01:00,8.5,93.2,1015.239722,0,0.39,01-Jan-2018 01:00:00
01/01/2018,01:30,8.5,93,1014.901083,0,0,01-Jan-2018 01:30:00
01/01/2018,02:00,8.5,92.8,1014.562444,0,0,01-Jan-2018 02:00:00
01/01/2018,02:30,8.3,94.7,1014.223805,0,0,01-Jan-2018 02:30:00
01/01/2018,03:00,8.4,94.1,1013.546527,0,0,01-Jan-2018 03:00:00
01/01/2018,03:30,8,95.5,1013.207888,0,0,01-Jan-2018 03:30:00
01/01/2018,04:00,8.2,93.5,1012.869249,0,0,01-Jan-2018 04:00:00
01/01/2018,04:30,8.4,91.4,1012.191971,0,0,01-Jan-2018 04:30:00
01/01/2018,05:00,8.6,89.1,1011.853332,0,0,01-Jan-2018 05:00:00
01/01/2018,05:30,8.6,89.2,1011.853332,0,0,01-Jan-2018 05:30:00
01/01/2018,06:00,8.5,88.3,1011.853332,0,0,01-Jan-2018 06:00:00
01/01/2018,06:30,8.6,85,1011.514693,0,0,01-Jan-2018 06:30:00
01/01/2018,07:00,8.9,80.6,1011.514693,0,0,01-Jan-2018 07:00:00
01/01/2018,07:30,9,77.3,1011.853332,0,0,01-Jan-2018 07:30:00
01/01/2018,08:00,9.1,74.7,1011.853332,1.9,0,01-Jan-2018 08:00:00
01/01/2018,08:30,9.2,73.6,1011.853332,28.1,0,01-Jan-2018 08:30:00
01/01/2018,09:00,9.6,71.6,1011.853332,64.5,0,01-Jan-2018 09:00:00
01/01/2018,09:30,10.3,67.4,1012.191971,123.1,0.03,01-Jan-2018 09:30:00
01/01/2018,10:00,11.1,62.9,1011.853332,173.5,0,01-Jan-2018 10:00:00
01/01/2018,10:30,11.9,58.8,1012.53061,217.2,0,01-Jan-2018 10:30:00
01/01/2018,11:00,12.6,55.4,1012.869249,254.7,0,01-Jan-2018 11:00:00
01/01/2018,11:30,13.1,53.1,1012.869249,283.6,0,01-Jan-2018 11:30:00
01/01/2018,12:00,13.5,51.1,1012.869249,302.5,0,01-Jan-2018 12:00:00
01/01/2018,12:30,13.9,49.4,1013.207888,309.8,0,01-Jan-2018 12:30:00
01/01/2018,13:00,14.2,48.1,1013.207888,304.3,0,01-Jan-2018 13:00:00
01/01/2018,13:30,14.4,47,1012.869249,284.8,0,01-Jan-2018 13:30:00
01/01/2018,14:00,14.6,46.2,1012.869249,254,0,01-Jan-2018 14:00:00
